英文问题,中文问题,涉及指标,答案来源表格,英文答案
"What was the revenue for Chin Hin Group in 2024?","2024年Chin Hin集团的收入是多少？","Revenue: 3,252,347 RM'000","Chin Hin-AR 2024 Profit.csv, Row 9, Column Group 2024","The revenue for Chin Hin Group in 2024 was RM 3,252,347 thousand."
"What was the revenue for Chin Hin Group in 2023?","2023年Chin Hin集团的收入是多少？","Revenue: 2,057,210 RM'000","Chin Hin-AR 2024 Profit.csv, Row 9, Column Group 2023","The revenue for Chin Hin Group in 2023 was RM 2,057,210 thousand."
"What was the cost of sales for Chin Hin Group in 2024?","2024年Chin Hin集团的销售成本是多少？","Cost of sales: 2,727,214 RM'000","Chin Hin-AR 2024 Profit.csv, Row 10, Column Group 2024","The cost of sales for Chin Hin Group in 2024 was RM 2,727,214 thousand."
"What was the gross profit for Chin Hin Group in 2024?","2024年Chin Hin集团的毛利润是多少？","Gross profit: 525,133 RM'000","Chin Hin-AR 2024 Profit.csv, Row 11, Column Group 2024","The gross profit for Chin Hin Group in 2024 was RM 525,133 thousand."
"What was the gross profit for Chin Hin Group in 2023?","2023年Chin Hin集团的毛利润是多少？","Gross profit: 188,422 RM'000","Chin Hin-AR 2024 Profit.csv, Row 11, Column Group 2023","The gross profit for Chin Hin Group in 2023 was RM 188,422 thousand."
"What was the other income for Chin Hin Group in 2024?","2024年Chin Hin集团的其他收入是多少？","Other income: 50,913 RM'000","Chin Hin-AR 2024 Profit.csv, Row 12, Column Group 2024","The other income for Chin Hin Group in 2024 was RM 50,913 thousand."
"What was the finance income for Chin Hin Group in 2024?","2024年Chin Hin集团的财务收入是多少？","Finance income: 10,368 RM'000","Chin Hin-AR 2024 Profit.csv, Row 13, Column Group 2024","The finance income for Chin Hin Group in 2024 was RM 10,368 thousand."
"What was the administrative expenses for Chin Hin Group in 2024?","2024年Chin Hin集团的管理费用是多少？","Administrative expenses: 275,666 RM'000","Chin Hin-AR 2024 Profit.csv, Row 21, Column Group 2024","The administrative expenses for Chin Hin Group in 2024 was RM 275,666 thousand."
"What was the finance costs for Chin Hin Group in 2024?","2024年Chin Hin集团的财务成本是多少？","Finance costs: 78,506 RM'000","Chin Hin-AR 2024 Profit.csv, Row 23, Column Group 2024","The finance costs for Chin Hin Group in 2024 was RM 78,506 thousand."
"What was the finance costs for Chin Hin Group in 2023?","2023年Chin Hin集团的财务成本是多少？","Finance costs: 40,516 RM'000","Chin Hin-AR 2024 Profit.csv, Row 23, Column Group 2023","The finance costs for Chin Hin Group in 2023 was RM 40,516 thousand."
"What was the profit before tax for Chin Hin Group in 2024?","2024年Chin Hin集团的税前利润是多少？","Profit before tax: 275,845 RM'000","Chin Hin-AR 2024 Profit.csv, Row 26, Column Group 2024","The profit before tax for Chin Hin Group in 2024 was RM 275,845 thousand."
"What was the profit before tax for Chin Hin Group in 2023?","2023年Chin Hin集团的税前利润是多少？","Profit before tax: 189,318 RM'000","Chin Hin-AR 2024 Profit.csv, Row 26, Column Group 2023","The profit before tax for Chin Hin Group in 2023 was RM 189,318 thousand."
"What was the taxation for Chin Hin Group in 2024?","2024年Chin Hin集团的税收是多少？","Taxation: 60,353 RM'000","Chin Hin-AR 2024 Profit.csv, Row 27, Column Group 2024","The taxation for Chin Hin Group in 2024 was RM 60,353 thousand."
"What was the profit for the financial year for Chin Hin Group in 2024?","2024年Chin Hin集团财政年度的净利润是多少？","Profit for the financial year: 215,492 RM'000","Chin Hin-AR 2024 Profit.csv, Row 28, Column Group 2024","The profit for the financial year for Chin Hin Group in 2024 was RM 215,492 thousand."
"What was the profit for the financial year for Chin Hin Group in 2023?","2023年Chin Hin集团财政年度的净利润是多少？","Profit for the financial year: 162,702 RM'000","Chin Hin-AR 2024 Profit.csv, Row 28, Column Group 2023","The profit for the financial year for Chin Hin Group in 2023 was RM 162,702 thousand."
"What was the profit attributable to owners of the parent for Chin Hin Group in 2024?","2024年Chin Hin集团归属于母公司所有者的利润是多少？","Profit attributable to owners of the parent: 114,818 RM'000","Chin Hin-AR 2024 Profit.csv, Row 54, Column Group 2024","The profit attributable to owners of the parent for Chin Hin Group in 2024 was RM 114,818 thousand."
"What was the non-controlling interests in profit for Chin Hin Group in 2024?","2024年Chin Hin集团的少数股东损益是多少？","Non-controlling interests: 97,078 RM'000","Chin Hin-AR 2024 Profit.csv, Row 56, Column Group 2024","The non-controlling interests for Chin Hin Group in 2024 was RM 97,078 thousand."
"What was the total comprehensive income for Chin Hin Group in 2024?","2024年Chin Hin集团的综合收益总额是多少？","Total comprehensive income for the financial year: 206,959 RM'000","Chin Hin-AR 2024 Profit.csv, Row 42, Column Group 2024","The total comprehensive income for Chin Hin Group in 2024 was RM 206,959 thousand."
"What was the basic earnings per share for Chin Hin Group in 2024?","2024年Chin Hin集团的基本每股收益是多少？","Basic and diluted earnings per share: 3 sen","Chin Hin-AR 2024 Profit.csv, Row 64, Column 2024","The basic and diluted earnings per share for Chin Hin Group in 2024 was 3 sen."
"What was the basic earnings per share for Chin Hin Group in 2023?","2023年Chin Hin集团的基本每股收益是多少？","Basic and diluted earnings per share: 8 sen","Chin Hin-AR 2024 Profit.csv, Row 64, Column 2023","The basic and diluted earnings per share for Chin Hin Group in 2023 was 8 sen."
"What was the revenue for Chin Hin Company in 2024?","2024年Chin Hin公司的收入是多少？","Revenue: 18,353 RM'000","Chin Hin-AR 2024 Profit.csv, Row 9, Column Company 2024","The revenue for Chin Hin Company in 2024 was RM 18,353 thousand."
"What was the revenue for Chin Hin Company in 2023?","2023年Chin Hin公司的收入是多少？","Revenue: 13,387 RM'000","Chin Hin-AR 2024 Profit.csv, Row 9, Column Company 2023","The revenue for Chin Hin Company in 2023 was RM 13,387 thousand."
"What was the gross profit for Chin Hin Company in 2024?","2024年Chin Hin公司的毛利润是多少？","Gross profit: 18,353 RM'000","Chin Hin-AR 2024 Profit.csv, Row 11, Column Company 2024","The gross profit for Chin Hin Company in 2024 was RM 18,353 thousand."
